[2024-01-06 11:17:35,432: INFO: main: welcome to logging]
[2024-01-16 13:19:50,834: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-16 13:19:50,843: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-16 13:19:50,846: INFO: common: created directory at: artifacts]
[2024-01-16 13:19:50,849: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-16 13:19:50,851: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1Wo63r4B_RsykJtk6M21LjzOpNTnI0qyj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-16 13:19:52,056: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1Wo63r4B_RsykJtk6M21LjzOpNTnI0qyj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-16 13:21:03,970: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-16 13:21:03,971: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-16 13:21:03,972: INFO: common: created directory at: artifacts]
[2024-01-16 13:21:03,973: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-16 13:21:03,974: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-16 13:21:05,065: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-16 13:47:30,155: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-16 13:47:30,157: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-16 13:47:30,158: INFO: common: created directory at: artifacts]
[2024-01-16 13:47:30,159: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-16 13:47:30,159: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1Wo63r4B_RsykJtk6M21LjzOpNTnI0qyj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-16 13:47:37,960: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1Wo63r4B_RsykJtk6M21LjzOpNTnI0qyj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
